	User	TopMonth	DataMonths
166	166	200806	200805,200806,
167	167	200805	200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,
168	168	201107	200909,200910,201105,201106,201107,201108,
169	169	201005	201005,201006,
170	170	200805	200804,200805,
171	171	200707	200707,
172	172	200806	200805,200806,200807,
173	173	200712	200711,200712,
174	174	200803	200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,
175	175	200710	200710,
176	176	200712	200711,200712,
177	177	200909	200909,
178	178	201003	201003,
179	179	200810	200808,200809,200810,200811,
180	180	200905	200904,200905,
181	181	200712	200712,200801,200802,200803,
